word|punctuation_before|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
of||0.0|-7.2108|2.8412|12.6288|0.7788|4.0074|18.809|27.8832|7.4493|0.2406
assumptions||0.0|-8.4436|7.1628|7.1628|1.6107|1.8202|27.67|27.67|8.0915|-0.8102
into||0.45|-6.6089|3.7334|7.3755|1.0379|3.67|21.488|27.67|7.1975|0.7947
question||0.0|-6.323|9.253|9.253|2.4903|4.5834|24.3316|24.3316|6.3194|-0.9021
and|,|1.07|-6.9753|2.0206|9.253|0.6694|12.4372|2.941|24.3316|0.9612|0.5792
avoid||0.0|-7.0997|7.2532|7.2532|2.0756|5.7391|21.0682|21.2954|6.8486|-0.4981
doxa||0.0|-6.9885|1.5167|7.2532|0.2674|0.5742|22.5521|22.5521|6.3053|-0.63
the|,|0.66|-7.9928|2.2856|3.4322|0.865|9.5488|10.0376|22.5521|3.7381|1.7643
realm||0.0|-6.49|3.3902|4.0578|0.6738|4.2449|28.2893|28.2893|9.3211|-1.283
of||0.0|-8.2416|2.2923|3.6795|0.6845|-0.5424|27.9187|28.4684|9.2568|-0.4981
the||0.0|-7.7483|4.7422|4.7422|1.4417|2.1228|26.1389|27.9187|8.7371|-0.1179
unquestioned||0.0|-7.1483|4.9468|5.1854|1.3516|5.4485|20.5336|26.5615|6.0246|-0.8213
then|,|0.5|-7.0156|2.7086|4.9468|0.7531|11.5634|4.936|20.5336|1.9013|0.7947
we||0.0|-6.8178|1.7852|2.7086|0.5162|12.1786|3.1868|4.936|1.0148|-0.1179
must||0.0|-6.0921|2.0791|2.9112|0.5597|3.6333|27.5334|27.5334|10.3099|-1.1445
be||0.0|-7.7763|3.7035|4.9266|1.2736|6.8278|24.9458|27.5334|7.7425|-0.0133
willing||0.0|-10.7665|8.0718|10.4298|2.2703|9.1359|15.1359|24.9458|3.6463|-0.2108
to||0.0|-17.3035|0.8842|9.0787|0.3094|-1.6376|6.3995|17.9382|2.8132|1.7643
subject||0.0|-19.1298|3.3719|4.3862|0.9815|-1.6647|25.8629|25.8629|7.8779|-0.7567
our||0.0|-21.4777|0.24|3.7188|0.1698|7.7917|24.794|27.721|7.5713|-0.3688
own||0.0|-21.0968|0.9456|0.9643|0.3417|11.8881|2.3542|24.794|0.8368|-0.1179
assumptions||0.0|0.0|0.0|21.579|0.0|-3.263|28.6104|30.2647|8.3193|-0.697
to||0.0|0.0|0.0|0.0|0.0|0.0|0.0|28.6104|0.0|0.0
debate||0.0|-10.8352|12.1667|13.9049|2.9174|5.3201|20.1818|20.1818|5.469|0.0
and||0.0|-13.1743|5.8054|15.4351|1.8855|8.0662|9.2226|20.1818|3.5178|0.5792
discussion||0.0|-14.1615|3.1091|5.8054|1.3009|1.1322|19.5808|22.8988|5.3039|-0.0133
it|.|2.8|-15.6186|3.9362|4.1148|1.3542|1.7724|20.3242|24.2019|8.5577|0.2406
is||0.0|-15.6477|5.1264|5.1357|1.4686|3.947|21.4085|21.4803|7.0173|-0.6058
in||0.0|-14.2841|4.7457|6.0839|1.3473|5.5208|26.4447|26.4447|9.8223|-0.6058
this||0.0|-12.5162|4.4807|4.8442|1.4218|4.346|18.7916|27.3398|6.612|-0.2108
spirit||0.0|-13.1581|6.8723|6.8723|2.1378|0.5377|27.9782|28.0016|8.461|-0.9665
that||0.36|-4.9223|3.7495|13.5634|1.0251|2.4726|22.3616|27.9782|8.7742|0.1052
i||0.0|-4.8862|4.2115|4.2557|1.2813|11.5563|5.6519|23.8562|1.6092|0.3969
join||0.0|-5.6795|3.8699|5.7316|1.0194|9.4982|14.3376|15.8677|3.6336|-1.1137
into||0.84|-4.1005|6.6824|7.2022|1.3552|2.9919|40.3984|40.3984|12.8683|0.1052
a||0.0|-6.5183|3.1712|7.0516|1.0596|11.8941|5.7603|40.3984|1.48|-0.1179
discussion||0.49|-7.1636|3.066|3.9522|1.0048|5.1075|28.054|28.054|7.8898|-0.5892
of||0.0|3.9483|2.5072|14.688|0.6845|1.9442|22.6748|28.054|9.1954|-0.4981
one||0.0|6.0257|2.0441|4.0126|0.6607|11.116|16.913|23.7366|4.6609|0.1052
of||0.0|2.904|3.9749|6.0061|1.4996|8.8661|8.329|16.913|3.4106|0.3969
the||0.0|3.1292|3.0819|3.9749|1.1365|8.9758|7.9165|9.1723|2.748|1.3693
critical||0.0|-2.3416|10.9824|13.8079|2.5263|2.7152|24.1848|24.1848|8.1358|-0.0496
issues||0.0|-8.0495|5.4385|13.3421|1.3876|5.0917|16.5021|24.1848|5.1268|-0.9291
of||0.0|-8.5147|2.0176|5.4385|0.5236|1.7765|22.9746|23.4476|8.7397|-0.0133
our||0.0|-9.4345|4.0367|4.1636|1.1011|10.5722|9.4674|24.4615|2.4638|-0.0133
time||0.0|-8.792|10.0021|10.0021|2.376|-0.6649|34.0551|34.4008|11.3146|-1.3787
namely|,|0.0|-3.9063|9.1895|11.121|2.0258|7.484|23.4666|34.7715|6.1608|-0.3688
how|,|0.33|-3.5398|0.9237|9.1895|0.216|10.8569|10.7869|23.8535|2.8333|0.1052
to||0.0|-3.1908|3.1394|3.1394|0.7745|2.4523|18.2539|20.4076|6.5456|-0.0133
mobilize||0.0|-2.1764|5.2015|5.4221|1.054|5.7284|28.0268|28.0268|8.538|-0.7504
different||0.69|-4.7996|4.9372|8.4324|1.356|3.307|24.1506|28.0268|8.9129|0.9615
forms||0.0|-6.8261|4.9815|6.4431|1.4322|7.1278|20.1288|24.1643|6.7684|-0.7375
of||0.0|-8.8067|2.4691|5.9115|0.7193|4.537|18.4529|21.5722|6.5738|0.5792
capital||0.0|-7.2206|2.9188|4.9724|0.6379|-1.8674|32.0892|32.0892|9.88|-0.6379
for||0.47|-6.7318|2.5907|3.0169|1.0064|11.4444|5.1347|32.0892|1.9456|1.0532
the||0.0|-9.2678|3.5969|5.015|1.3286|6.6772|11.0689|13.2591|3.3444|1.0532
project||0.0|-8.6441|9.1997|9.1997|2.4243|3.2926|24.9222|24.9222|7.2408|-0.294
of||0.0|-11.2083|3.1114|9.1997|1.2284|7.0526|14.8454|24.9222|5.3622|1.3693
state||0.0|-14.3723|4.1409|7.112|1.1289|0.7049|24.4427|24.814|6.658|-0.8102
building||0.0|-14.7767|2.2584|4.1409|0.8413|-2.4747|19.6526|24.4427|6.241|0.1052
to|.|0.48|10.0701|1.5078|26.9765|0.7102|7.3415|6.5934|22.5211|2.8522|2.2722
put||0.0|4.7317|6.1634|8.5758|2.111|4.0956|22.7335|22.7335|7.3865|-0.0133
the||0.0|2.4761|1.6906|7.1342|0.5518|7.4296|9.0966|22.7335|3.853|2.2722
assumptions||0.0|-1.6556|8.7146|10.1922|1.9541|7.5755|15.6842|15.6842|5.1108|0.064
very||0.0|-6.7242|5.4341|11.6823|1.3561|8.6832|19.7267|19.9865|5.1416|0.3159
clearly||0.0|-9.5591|9.688|9.688|3.3422|2.5456|28.5607|29.4601|8.1753|-0.8429
capitalism|:|1.11|1.9324|6.4551|18.4075|1.6437|3.8519|40.1284|40.1284|9.4579|-0.5806
after|,|0.0|-2.7282|4.221|9.6415|0.8533|4.6756|25.3592|40.1284|8.636|0.044
one||0.0|-4.5585|0.9908|4.5646|0.4393|10.7636|3.0322|25.3592|1.3444|7.6896
hundred||0.0|-4.3023|5.3212|5.3212|1.7241|7.0593|22.4692|22.4692|6.0985|-0.8429
and||0.0|0.0|0.0|7.9458|0.0|0.0|0.0|22.4692|0.0|0.0
fifty||0.0|-4.4656|4.3987|6.4415|1.2957|0.5929|26.6142|26.6142|8.9956|0.0
years||0.0|-9.8103|4.8947|9.2846|1.4328|-1.3229|33.4817|33.4817|9.6085|-1.2642
has|,|0.51|-15.8949|6.1219|13.3758|2.091|5.8713|23.174|33.4817|6.2141|0.2406
become||0.0|-15.3454|6.3135|8.0463|1.4961|5.545|19.561|24.8184|7.0923|0.2406
acceptable||0.0|-18.7387|2.8665|8.8002|0.9844|-1.1272|26.5079|26.7933|7.4737|0.3969
and|,|0.7|-3.6238|2.806|18.2154|0.8443|9.009|23.628|27.3397|7.2552|-0.294
so||0.0|-2.391|3.6547|4.879|1.1282|7.116|14.322|23.628|6.1278|-0.0133
has||0.0|-5.4513|6.983|8.9773|2.7403|7.5773|14.0408|14.322|4.707|0.1052
democracy||0.0|-10.3696|7.7878|11.7634|1.8853|1.2166|24.5297|24.5297|7.6242|0.205
if|.|1.7|-2.2965|2.286|12.8726|0.4445|1.099|20.7092|24.5297|7.9913|-0.2108
we||0.0|0.3687|2.4189|5.0798|0.5194|9.3923|20.9606|21.1529|6.5268|0.3969
looked||0.0|2.4934|4.9847|5.3555|1.6906|-0.3695|34.7967|34.7967|10.0953|-1.3959
in||0.0|-1.1413|1.787|6.8597|0.4102|1.3304|37.5082|37.898|16.0295|-0.0133
the||0.0|-2.7643|3.2976|3.7454|1.1231|9.1717|10.2839|37.9528|3.5173|1.3693
world||0.0|-1.501|3.8325|4.3078|1.1608|10.3|11.382|11.3998|3.6969|-0.4981
of||0.0|-1.6243|2.9775|3.8325|0.8449|3.0381|18.1627|18.7543|7.1311|0.3969
nineteen||0.0|-3.212|8.7979|8.7979|1.5813|9.4172|18.4185|18.7726|5.6834|0.6469
forty||0.0|-5.7103|5.4896|9.4103|1.2728|1.4524|27.1027|28.4165|8.5092|-0.2108
five||0.0|-6.26|3.5972|5.4896|1.037|-3.1203|33.0302|33.0302|9.2831|-1.2642
and||1.01|8.9413|1.4863|18.0484|0.4582|11.8945|3.1194|33.0593|1.3595|0.3969
looked||0.0|14.0222|5.5888|7.1295|1.4666|4.5725|17.1269|17.1269|6.6183|-0.4981
at||0.0|11.8015|8.5363|8.5363|2.819|7.8167|10.5925|17.4142|4.2857|1.0532
the||0.0|6.2013|3.7223|12.2335|1.2364|8.949|9.1646|10.5925|3.4387|1.7643
map||0.0|2.8431|6.683|7.4266|2.5916|3.2629|26.45|26.4682|9.7851|-1.0009
of||0.39|-5.3312|4.1565|14.229|1.452|-1.7563|37.4156|37.4156|11.9005|-0.0133
capitalist||0.0|-12.786|8.3102|12.7423|1.9539|1.877|23.7734|37.4156|8.4718|0.5309
economies||0.0|-17.7676|5.3845|11.7867|1.9472|2.7885|35.4244|35.4244|11.8746|-0.3134
and||0.0|-17.9446|2.8759|5.7647|0.7798|2.4377|34.2375|35.4244|14.466|0.1052
democratic||0.0|-18.7964|4.7086|4.7086|1.2025|3.4294|25.4709|34.3493|8.3329|0.0741
polities||0.6|0.0|0.0|21.2634|0.0|-6.1022|17.0545|27.0657|5.8826|1.1513
they|,|0.67|-4.1865|5.3945|7.8878|1.9611|13.2082|1.9451|27.7|0.8776|1.7643
were||0.0|-2.9281|6.1089|6.7936|2.0035|10.3965|6.7735|7.6243|2.8116|-0.2108
the||0.0|-7.1712|5.572|8.9611|1.7381|9.4756|6.9314|6.9314|2.1106|0.1052
rare||0.0|-6.2944|5.7674|6.0835|1.4248|8.2729|24.0549|24.0549|6.8838|-1.1137
exception||0.0|-7.3735|2.2075|5.7674|0.5451|-5.4415|39.2424|40.4629|10.4596|-0.7752
not|,|0.0|-8.3749|2.0871|3.6415|0.6001|-1.0102|41.4296|41.4296|13.3384|-0.6533
the||0.0|-10.4965|5.134|5.615|1.8708|3.8546|19.0755|41.4296|8.2196|2.2722
norm||0.0|-14.301|1.5895|6.6417|0.3698|3.1327|23.706|23.706|8.1074|-0.7375
the|.|2.29|-1.6563|2.3958|14.7845|0.6631|6.1579|13.2762|23.8874|5.3288|1.3693
question||0.0|3.2387|7.8383|8.149|2.2037|7.4643|19.1438|19.1438|6.0947|-0.7375
now||0.0|-1.8267|9.1209|11.4289|3.1431|12.0621|5.2444|19.238|1.2329|-0.7375
however|,|0.0|-7.0425|10.3767|15.5265|2.9351|1.0425|38.2255|38.3691|12.2293|-0.7871
is|,|0.0|-15.1555|5.4938|15.8441|1.3053|5.6438|38.0593|38.2255|8.0216|-0.9544
both||0.0|-9.0373|13.6205|14.0246|3.5812|1.0112|32.1927|38.1178|9.8173|-1.3322
about||0.0|-3.2546|2.5813|15.1499|0.5814|-5.135|37.5783|37.5783|11.9884|-1.0117
which||0.8|-0.1331|8.0604|8.0604|2.7034|3.0372|31.4198|37.5783|8.2529|-1.0009
form||0.0|0.6202|4.2594|8.0604|0.9639|7.2549|22.2824|31.4198|8.3996|-0.8429
of||0.0|-7.2665|5.8244|11.5035|2.0795|-2.4578|34.4415|34.5707|9.1314|-1.4117
capitalism||0.0|0.0|0.0|9.7857|0.0|0.0|0.0|34.4415|0.0|0.0
and||0.0|-2.2297|5.7968|5.7968|1.6551|8.23|36.7672|36.7672|9.0321|0.0
which||0.0|0.1781|4.9687|5.7968|1.1001|3.5415|30.4192|36.7672|8.2879|-1.1589
type||0.33|2.3197|5.419|10.3623|1.5257|5.657|20.2928|30.4192|6.2844|-1.0009
of||0.0|5.2743|2.2836|5.419|0.666|3.8652|24.8446|25.207|7.8461|-0.2108
democratic||0.0|2.9479|6.1376|6.1376|1.7815|3.5157|26.3405|26.3405|8.537|0.3159
participation||0.0|1.2289|0.4606|6.1376|0.1017|1.6071|28.4459|28.4459|7.5231|0.2406
but|.|1.56|-1.6107|3.64|5.1933|0.7259|2.4131|21.2305|28.4783|7.9659|-0.3688
we||0.0|-0.2775|3.8766|5.4364|1.0253|10.1117|19.5499|21.2305|5.9894|0.1052
must||0.0|2.3134|4.7078|5.6033|1.376|5.6064|19.665|19.8166|8.1041|-0.9291
acknowledge||0.0|-3.8087|17.4365|17.4365|4.9104|6.7751|26.1026|26.1026|6.7826|-0.4782
that||0.0|5.7703|3.1177|21.5098|1.1049|8.1974|16.8382|26.1026|4.3174|-0.294
this||0.0|8.2338|5.5499|6.2012|1.4626|1.7051|18.299|19.6107|6.7645|-0.4981
moment||0.0|5.1538|15.6393|15.6393|5.8064|7.391|26.0575|26.0575|7.3487|-0.888
has||0.0|0.0|0.0|15.6393|0.0|0.0|0.0|26.0575|0.0|0.0
brought||0.0|-1.8552|2.8014|3.6586|0.8361|5.9192|17.6808|17.6808|5.7326|0.0
about||0.0|-6.4428|7.8714|7.9454|2.0502|3.9657|25.3857|25.3857|7.8278|-0.6058
a||0.44|-1.2703|0.5009|7.8714|0.3542|0.0|0.0|25.3857|0.0|7.6896
rare||0.0|-3.3735|7.8211|7.8211|2.3699|10.0073|19.5013|19.5013|5.0856|-1.0799
consensus||0.0|-12.6152|8.195|16.1874|2.3524|-4.2217|35.4456|36.459|9.573|-0.8213
of||0.0|-16.3017|1.8564|8.8873|0.5773|-0.7291|37.8296|37.8296|11.9033|-0.2108
assumptions||0.0|-17.744|3.2684|3.8133|1.2952|-1.2741|30.4925|38.1262|8.6488|-0.6058
and|.|1.1|-2.9576|4.4006|17.801|1.3696|10.6514|10.9194|30.4925|3.1185|-0.5543
that||0.0|-0.8978|5.2362|5.3459|0.8399|-1.5688|30.8692|30.8692|9.7162|-1.2105
provides||0.43|-4.8504|9.1691|9.1691|2.514|4.6836|21.1738|30.8692|6.5406|-0.468
the||0.0|-5.2897|4.361|9.1691|1.5497|5.3503|19.2946|21.1738|6.8783|0.7947
ground||0.0|-7.741|5.3449|7.0845|1.4657|-3.2501|40.2316|40.2316|12.8237|-1.36
for||0.0|9.0367|3.9389|21.9658|1.2744|-1.2632|39.7111|40.2316|13.8987|-0.6058
a||0.0|6.2992|1.6709|5.8905|0.6024|9.6743|14.4107|39.7111|5.2535|2.9494
type||0.0|2.3697|4.8286|6.6856|1.2844|3.6356|22.0178|22.0178|7.625|-0.9783
of||0.0|-3.5409|8.0804|11.9851|3.1896|3.0718|21.0967|22.0178|7.2706|0.1052
action||0.0|-8.9438|6.4073|11.8942|1.4746|2.0155|30.1352|30.1352|9.7448|-1.0009
because|,|0.0|9.0061|3.6804|21.8854|0.8213|3.7387|22.47|30.1352|7.5181|-0.0133
consensus||0.0|4.5052|13.5982|13.5982|3.9657|4.2138|23.6151|23.6151|7.4315|-0.6682
of||0.0|-2.7012|6.6009|16.7107|1.836|1.1929|24.2487|24.2487|7.9849|-0.4366
each||0.0|-3.5631|8.2052|10.7847|1.7463|4.9223|18.2836|24.2487|6.2242|-0.697
moment||0.0|-5.0058|12.2423|12.2423|4.6953|8.0619|22.4033|22.4033|5.6594|-0.7375
allows||0.34|-2.1955|1.4158|12.2423|0.4255|9.7808|13.8252|22.5847|3.8322|-0.3688
us||0.0|-4.6725|4.355|4.9535|1.2242|3.5047|21.2112|21.6341|7.3889|-0.3688
to||0.0|-4.07|3.9374|4.355|1.168|1.5501|23.6109|23.7355|7.7949|-0.2108
act||0.0|-7.5418|2.8775|7.0012|0.855|-0.102|28.0526|28.0526|8.7373|-1.0799
and|.|0.0|0.0|0.0|9.2689|0.0|0.0|0.0|28.0526|0.0|0.0
it||0.0|-1.5302|2.2947|2.2947|0.4902|6.9686|15.1188|15.1188|6.5904|0.0
is||0.0|-1.2063|5.2596|5.2596|1.5085|7.643|20.093|20.093|6.7941|0.2406
necessary||0.0|0.9988|5.5672|6.4189|1.0534|2.8577|27.3168|27.4031|7.5252|-0.3508
no|,|0.4|-1.765|1.8183|5.7798|0.4794|13.048|2.7893|27.3168|0.8137|0.7947
matter||0.0|-3.0728|2.34|3.0362|0.7109|12.0719|9.0563|9.0563|2.2999|1.3693
how||0.0|-4.9817|4.409|6.0065|1.2549|8.9206|19.5229|19.5345|5.0866|-0.697
fragile||0.0|-2.8582|7.8452|8.3179|2.1133|4.6237|22.8081|22.8081|7.4795|-0.1179
or||0.0|0.0|0.0|7.8452|0.0|-5.3131|14.5125|25.9997|5.924|0.5792
how||0.65|7.3577|2.9275|8.7297|0.776|8.3329|17.5694|25.2951|4.7703|-0.2108
provisional||0.0|8.8138|11.0734|11.0734|2.9962|8.7478|21.7757|21.7757|5.5762|0.3159
our||0.0|2.4975|0.8791|11.869|0.236|10.0201|13.6979|21.7757|3.8795|-0.2108
consensus||0.0|-5.8022|23.7569|24.4539|4.6099|-0.8499|37.4977|37.4977|10.6064|-1.3959
to|,|0.0|0.0|0.0|23.7569|0.0|0.0|0.0|37.4977|0.0|0.0
be||0.0|-12.9294|4.2479|15.9246|1.3963|8.3607|16.1724|16.1724|4.5399|0.0
able||0.0|-10.5385|5.7204|8.4096|1.9789|5.9644|22.7814|23.1545|7.542|-0.0672
to||0.0|-7.9484|0.8685|5.7204|0.251|2.5448|17.3396|22.7814|6.5326|0.7947
move||0.0|-11.5592|4.2519|6.3285|1.0508|9.3404|14.8376|18.0309|4.7516|-0.3688
forward||0.0|-14.0588|8.3328|9.2454|3.1419|3.1635|19.8231|19.9685|5.9678|-0.4981
but|.|0.42|-0.8421|6.6208|20.492|2.0444|7.9756|9.5496|20.4064|3.0994|0.1052
the||0.0|1.1013|5.8499|8.4719|2.3004|9.8047|7.3732|9.89|2.6474|1.0532
majority||0.0|4.7617|10.1697|10.7401|2.7113|9.312|17.9598|17.9598|5.3239|0.3159
of||0.0|3.8877|6.3157|10.1697|2.2314|11.8731|3.4666|17.9598|1.2651|1.0532
the||0.0|0.4871|4.3813|9.0913|1.2779|10.8173|5.829|5.829|2.1568|1.3693
world||0.0|-7.2895|6.2553|11.2424|1.8835|2.0893|26.5334|28.0457|7.9255|-1.0972
neither||1.23|2.328|10.6231|16.1072|2.8684|12.0152|6.7928|28.0857|2.1462|-0.6058
benefits||0.0|2.2254|3.4002|10.6231|0.8503|6.43|22.0315|22.2284|6.8462|0.064
from||0.0|1.0038|4.6877|5.9161|1.4747|7.3372|20.0849|22.2521|7.7871|0.1052
capitalism||0.0|0.9868|7.1522|7.4622|1.8299|2.1955|23.9431|23.9593|8.9239|-0.1886
nor||0.44|1.3056|4.5331|7.1522|1.1133|7.497|17.9651|23.9431|5.8538|-1.1589
from||0.94|0.352|5.1708|7.1471|1.5428|7.9053|22.1343|22.8557|7.4937|-0.0133
democratic||0.0|-5.3557|10.106|13.5857|3.3372|4.9371|21.5594|22.1343|6.956|0.5792
systems||0.0|0.0|0.0|11.8904|0.0|-9.6372|32.6|38.1101|7.6171|-0.8268
most|.|3.48|4.1332|10.8491|10.8491|2.9365|5.1308|19.4179|39.0536|6.3224|-1.1858
of||0.0|1.457|5.4649|10.8491|1.7939|8.3875|11.1655|19.4179|3.5835|-0.0133
the||0.0|1.1707|6.4248|7.506|1.9434|7.5534|8.7053|11.1655|3.3954|1.3693
globe||0.0|-8.6977|8.581|15.4997|2.6554|2.1476|29.918|29.918|9.0492|-1.2738
experiences||0.41|0.877|6.0713|15.3398|1.8127|3.2341|31.9845|31.9845|9.3178|-1.049
the||0.0|-3.3193|2.6399|8.3071|0.8798|2.8631|27.4441|31.9845|9.4641|0.3969
state||0.0|-0.6227|5.2596|5.9365|1.4271|-5.1981|37.6996|37.6996|9.9625|-1.283
as||0.41|0.5172|2.578|6.1182|0.8523|-2.0647|34.473|37.6996|7.6822|-0.4981
repressive||0.0|-0.4635|4.6342|4.8491|1.2164|-3.9718|37.2358|37.2358|11.0045|-0.5361
as|,|0.0|0.0|0.0|4.6342|0.0|0.0|0.0|37.2358|0.0|0.0
an||0.0|-1.2682|1.8012|2.0482|0.474|1.4446|42.1542|42.1542|17.0461|0.0
organization||0.0|-0.0865|11.651|11.651|2.9393|10.076|13.177|42.1886|3.7734|-0.2108
that||0.0|0.8292|4.7952|11.651|1.5364|7.3673|19.6355|19.6355|7.2933|-0.4366
is||0.0|-2.0713|5.166|7.5655|1.4347|1.3176|22.7758|23.8991|8.3801|0.1052
concerned||0.0|-1.0825|7.7537|7.7537|1.322|5.7004|27.7625|27.7625|7.9827|-0.9291
about||0.0|-4.7553|7.0253|8.9564|1.7494|5.749|20.0467|27.7625|6.1606|-0.3688
denial||0.0|-1.4367|12.6371|12.6371|4.509|11.3065|13.1985|20.2401|3.1734|-0.7375
of||0.0|3.0171|3.9732|12.6371|1.0697|2.7623|20.036|20.6477|7.9355|-0.3688
rights||0.0|3.2831|1.7801|3.9732|0.4422|3.5444|26.759|26.8533|9.1577|-1.1589
about|,|0.51|-2.2881|5.6218|9.9744|1.7228|7.2|13.8074|27.4946|4.9601|-0.2535
denial||0.0|0.5803|11.8475|11.8475|3.4064|11.5256|13.6014|13.8519|3.3748|-0.6756
of||0.0|-9.0418|2.5297|14.7175|0.8767|5.6065|14.2023|14.9174|5.0899|1.0532
justice||0.0|-9.3891|0.6139|2.5297|0.1977|-7.8558|36.3311|38.4568|9.157|-1.0222
rather|,|1.18|1.8658|6.2279|13.1379|1.0977|10.8725|11.0861|39.0915|2.9924|-0.5543
than||0.0|-0.7431|3.8751|6.2762|1.3125|10.1715|10.7173|11.1735|3.8866|-0.1179
provision||0.0|-6.4012|8.7517|11.3118|2.9957|6.3481|16.5574|18.9807|3.709|0.064
of||0.0|-8.9832|0.0|8.7517|0.0|-7.4779|25.8593|30.048|8.2564|-0.4981
it||0.0|0.0|0.0|8.9832|0.0|0.0|0.0|25.8593|0.0|0.0
and|.|0.0|4.2625|5.5972|6.5842|1.3736|1.1463|38.5676|38.5676|12.4084|0.0
in||0.0|0.8158|3.9118|7.8018|0.92|3.3932|38.5922|38.5922|14.1941|-0.4366
terms||0.0|3.7812|6.8163|7.9058|2.2456|6.8006|17.8352|38.5922|6.0546|-1.0009
of||0.0|0.4184|8.1715|10.413|2.4136|4.5509|21.1369|21.4138|7.8461|-0.1179
experience||0.0|-6.5|14.1888|17.4382|3.1196|4.2187|33.0772|33.0772|8.9151|-0.294
of||0.0|-13.4344|5.724|16.9443|1.4929|3.5628|21.4665|33.0772|7.2461|0.3969
capitalism||0.0|-9.767|5.7509|8.6769|0.9076|-0.4832|37.5775|37.5775|10.2307|-0.3324
there|,|0.0|-1.7048|5.309|12.6237|1.9664|10.0183|12.2|37.5775|5.0442|-0.0133
are||0.0|-0.5999|2.1856|5.5025|0.6361|1.081|23.9135|24.8477|9.1196|0.5792
two||0.0|-3.4331|6.0279|6.1361|2.0246|6.2528|22.5149|24.9803|7.9607|-0.4981
aspects||0.0|1.1081|11.0553|11.5256|2.7|0.0459|29.6739|29.8629|9.0626|-1.1217
that||0.33|1.5997|2.7595|11.0553|0.8726|8.8784|8.1084|29.6739|2.7893|0.7947
the||0.0|1.4958|4.1914|4.3903|1.2761|9.4961|10.8651|10.8651|3.7557|0.7947
rest||0.0|2.8855|2.2429|5.3973|0.4558|2.2212|23.4933|23.4933|8.1044|-0.697
of||0.0|-0.5763|8.504|8.504|2.7335|7.2776|13.5841|23.4933|4.2547|0.7947
the||0.0|-2.0989|4.6812|9.231|1.6146|8.0713|13.4604|13.7232|4.6215|1.7643
globe||0.0|-6.2148|6.0159|8.8237|1.9748|8.2464|10.7434|13.6706|3.4337|-0.7752
experiences||0.0|-9.3832|9.9171|9.9171|1.9672|-4.854|40.1159|40.4425|11.4685|-0.9705
first|.|0.0|3.8753|2.8995|18.1305|0.8788|-0.4822|41.6776|41.6776|12.8678|-0.9783
extractive|,|0.0|-0.1756|11.5333|11.6193|2.3553|2.5436|30.1108|41.6776|7.8563|-0.3198
industry||0.0|-4.8485|5.0895|13.2381|1.371|-4.7647|37.2913|38.0514|12.0503|-0.4147
blood|.|0.93|11.3273|8.0761|23.1119|2.6473|7.8973|13.5175|38.0198|4.8223|-0.8429
diamonds||0.0|3.4897|6.6389|14.2874|1.6169|5.6965|32.2402|32.2402|10.0929|-1.0222
smuggled|,|0.5|1.5626|6.0958|10.2913|1.5261|4.9067|35.5449|35.5711|8.0579|-1.1726
emeralds||0.0|2.4284|5.6399|7.4552|1.7313|4.3357|33.8183|35.5857|9.9781|-0.4147
timber|,|1.03|2.7087|5.7106|5.9609|1.5637|1.9241|42.2579|42.2606|10.5593|-0.7752
