word|punctuation_before|pause_before|f0_mean|f0_range|f0_birange|f0_sd|i0_mean|i0_range|i0_birange|i0_sd|speech_rate_norm
and||1.1|9.1929|2.1344|18.7614|0.6341|-6.4737|15.5528|22.2736|4.5515|-0.4941
cars||0.0|9.6946|4.3335|4.3335|1.3791|0.1353|29.2217|29.2217|8.8414|-1.1104
are||0.0|6.4489|4.2855|6.9532|1.3332|6.0156|17.7152|29.2217|5.2015|-0.3491
thought||0.0|0.0|0.0|9.0535|0.0|0.0|0.0|17.7152|0.0|0.0
so||0.0|-1.2906|1.4471|2.0585|0.4056|1.3071|11.3608|11.3608|4.7938|0.0
much||0.0|-1.9309|1.4931|2.0024|0.3964|2.8277|18.7866|18.7866|5.9181|-0.7085
as||0.0|-4.5861|4.8967|6.2266|1.8055|2.5838|11.8153|18.7866|4.3848|0.8753
a||0.0|-6.8483|5.1385|6.7381|2.0774|-5.168|18.0325|22.1745|6.6899|0.4022
product||0.0|-13.5855|9.8414|15.096|2.749|1.0817|27.1796|27.1796|8.045|-0.9191
that||0.0|17.8851|0.63|37.204|0.1679|-7.4057|30.094|34.1918|10.977|-0.7509
it's||0.0|0.0|0.0|18.0578|0.0|-16.8106|22.8636|30.7576|6.9131|0.4022
a||0.0|0.0|0.0|0.0|0.0|3.7811|12.6803|29.8405|2.9154|-0.5558
little||0.5|13.149|2.2024|13.8923|0.6722|6.0735|7.1916|14.6518|2.0227|2.1763
bit||0.0|8.5197|8.3532|11.1098|2.3216|3.1522|15.6832|15.6832|4.4538|0.2248
difficult||0.0|-2.8565|7.934|16.8785|2.088|-0.1383|23.6873|23.6873|7.0706|0.1721
to||0.0|-4.071|0.8315|7.934|0.2703|-2.2215|16.3995|23.6873|6.6458|1.6187
get||0.0|-4.9308|3.9296|3.9296|1.3869|3.0474|11.9531|21.0235|4.1488|0.0747
into||0.0|-3.9211|2.7803|4.6421|0.7335|-1.5234|17.5868|19.9893|7.1793|1.0284
the||0.0|-5.5201|1.3004|3.1602|0.459|1.191|10.5503|17.5868|4.3973|0.8753
aesthetic||0.0|-3.7961|5.2773|5.2773|1.4751|-1.3167|28.7312|28.7312|8.0519|0.0747
side||0.0|-4.4242|3.8389|5.2773|1.4559|3.231|15.0483|28.7312|4.2753|-1.0937
under||0.64|7.533|5.3707|16.1808|1.9168|6.8282|5.0832|15.0483|1.1938|0.6151
the||0.0|5.7884|3.3675|5.6833|1.1331|3.7057|10.0018|11.7015|3.4165|0.6151
same||0.0|-1.0466|8.9259|12.6108|2.7084|2.9345|11.9393|11.9393|4.4687|-0.7085
sort||0.0|-3.0141|4.3714|8.9259|1.254|2.7476|13.5298|13.5298|4.2244|-0.4941
of||0.0|-5.3087|1.4381|5.368|0.4477|-1.2961|16.9743|20.6215|7.2084|1.6187
terminology||0.0|-4.3329|5.7214|5.7214|1.4041|3.3551|23.3717|23.3717|5.6105|0.1619
that||0.0|-6.8626|1.4335|6.2012|0.3648|0.507|5.8304|23.3717|2.0637|0.6151
one||0.0|-6.112|0.8686|1.7542|0.2596|2.7462|5.7741|7.5873|2.1309|0.8753
would||0.0|-5.5603|1.8871|1.8871|0.6367|3.6684|5.7011|6.0673|1.6488|-0.1655
discuss||0.0|-6.3102|3.6173|3.6173|0.911|-2.0492|26.303|26.303|6.4049|-0.6115
art||0.0|-4.4059|1.5299|4.5382|0.4686|3.7656|20.8855|27.138|7.1252|-0.9461
and|.|1.29|11.0772|1.3649|16.7681|0.3002|3.0262|31.4977|33.1448|8.0032|-1.0937
so||0.0|10.3616|10.4466|10.4466|3.6316|1.4218|22.727|33.7489|7.6697|-1.1104
cars||0.0|3.5528|6.3632|16.6608|1.7497|2.1719|22.136|22.727|7.3969|-0.9712
as|,|0.0|0.4023|5.4753|7.1913|1.7084|3.2315|15.5765|22.136|5.4584|-0.4257
art||0.0|2.002|4.4927|7.5916|0.9962|-0.176|22.2161|22.2161|7.1656|-1.1262
brings|,|0.0|0.812|7.2028|7.4159|1.861|1.9365|19.6145|22.8571|5.8716|-0.6622
it||0.0|-1.3074|2.1261|7.2556|0.8306|2.2361|6.7124|19.6145|2.0981|0.8753
into||0.0|-1.4513|4.2305|4.8487|1.0002|0.8219|17.3934|17.3934|6.0477|0.8753
an||0.0|-2.0247|1.9408|4.2305|0.6537|4.6086|3.3876|17.3934|1.2986|1.6187
emotional||0.0|-2.031|8.6456|8.6456|2.1117|1.9816|16.6827|16.6827|5.0062|0.3549
plane||0.0|-12.4369|9.9732|18.7138|3.9408|-0.0895|26.3874|26.3874|8.1317|-1.2675
if||0.41|-15.8949|3.5405|10.2362|1.1861|0.032|14.7675|26.3874|5.3342|0.6151
you||0.0|-14.167|2.1734|4.746|0.6542|2.8149|14.8422|16.8267|5.5875|1.2006
accept||0.0|-18.0582|3.6548|6.2927|0.9669|-0.8808|22.9437|22.9437|6.1773|-0.4941
that||0.0|-16.571|4.4816|5.5982|1.5097|4.7922|15.5073|22.9437|4.6687|-0.7899
that||0.5|9.912|3.8871|29.2536|1.2296|4.5834|15.2936|17.5415|5.8606|-0.4257
you||0.0|12.2396|2.3231|5.8683|0.6758|4.4993|10.9603|15.2936|3.9414|2.1763
have||0.0|13.8505|2.139|3.9546|0.6235|4.9992|16.1553|16.1553|6.4636|0.4022
to||0.0|12.7969|4.641|4.7995|1.4715|-2.1234|19.1563|23.5024|6.9656|0.6151
deal||0.0|4.6141|8.5947|13.9202|1.9668|4.6446|13.2062|21.0346|3.6754|-0.7085
with||0.0|2.869|1.5877|8.5947|0.3627|1.4913|18.9588|18.9588|7.3963|-0.263
on||0.0|2.3332|1.8933|1.8933|0.5856|5.8705|7.8033|18.9588|3.0631|1.2006
the||0.0|0.9605|2.7358|4.2101|0.8397|3.3689|5.5783|9.0289|1.7775|0.8753
same||0.0|2.4464|3.4454|5.1615|0.9022|2.9836|15.6637|15.6637|4.6716|-0.6115
level||0.0|1.5313|1.6517|3.7473|0.4625|7.5169|9.4346|16.2947|2.514|0.4022
you||0.0|0.567|0.9734|2.2432|0.3203|6.986|4.4412|9.4346|1.5197|0.0747
would||0.0|0.094|4.0945|4.0945|1.3387|4.8896|11.3749|11.3749|3.8609|-0.4257
with||0.0|-0.6706|3.3819|4.7666|0.9036|-0.1625|22.8225|22.8225|7.2378|-0.7899
art||0.0|0.0489|1.6397|3.7433|0.4451|0.4902|26.7445|26.7445|9.3707|-0.5558
with||0.0|-2.0704|4.9687|5.5528|1.8999|2.3089|9.1404|26.7445|3.2355|0.6151
a||0.0|-2.2747|0.5348|4.9687|0.1786|4.3282|10.3884|10.3884|3.9779|4.1278
capital||0.0|-1.3637|3.6441|3.6441|0.7123|1.3026|22.6285|22.6285|7.2027|-0.0929
a||0.0|-2.4656|7.1069|7.1165|2.381|1.5401|24.3031|24.3376|8.3754|-0.9948
now|.|0.44|-7.1728|1.4206|7.3057|0.4294|1.16|0.6414|24.3031|0.1905|0.0747
at||0.0|-7.252|1.9153|1.9153|0.6823|-6.7214|16.3114|16.748|6.9995|1.2006
this||0.0|-4.6971|2.0126|4.2275|0.5875|-6.7203|22.7258|22.7258|8.5519|-0.1655
point||0.0|-2.9443|2.4651|4.0044|0.6241|-4.8288|27.6724|27.6724|11.4304|-0.4257
you're||0.0|-4.6415|0.4855|3.0567|0.1507|-4.707|7.7176|27.6724|2.2177|0.8753
going||0.0|-6.2326|1.9844|2.6834|0.6553|-0.4691|9.6304|11.3048|3.8312|0.2248
to||0.0|-7.1881|0.7632|2.4981|0.2627|-5.6303|4.2381|10.0437|1.5262|2.1763
see||0.0|-6.4131|0.7266|1.5961|0.2502|-4.4178|17.0995|17.0995|6.4598|2.1763
a||0.0|-6.928|0.5923|1.0663|0.2927|0.5784|14.4343|17.5499|6.3832|4.1278
picture||0.0|-7.1683|0.1638|0.7613|0.0496|-10.1783|21.2616|24.9764|6.6972|-0.1116
of||0.0|-7.3043|1.443|1.443|0.419|-1.0693|5.5477|21.2616|2.2875|1.6187
michelangelo||0.0|-3.7449|8.7119|8.7119|3.3344|0.2808|25.1414|25.1414|6.1595|-0.4676
this|.|0.65|6.7845|3.6371|16.6721|0.9003|1.8288|25.7829|26.6426|8.1716|-0.5558
is||0.0|7.0858|4.7755|4.9697|1.9467|4.6465|12.9371|25.7829|4.36|0.4022
completely||0.0|4.0417|11.359|13.1338|2.8195|3.8165|18.7479|18.7479|5.4813|0.4517
different||0.0|0.8764|8.6834|12.4182|3.1036|0.4453|22.1419|22.1419|6.269|0.4688
than||0.0|-1.5867|2.1188|8.6834|0.6464|0.6339|18.9393|22.1419|6.7378|-0.3491
automobiles||0.0|-2.0034|9.3533|9.3533|2.2121|1.4903|21.1252|21.98|6.0153|-0.8512
automobiles|.|0.93|-0.2705|11.6282|13.9829|3.553|1.4542|28.6023|28.8889|8.4918|-1.0276
are||0.0|-4.1437|2.1565|11.6282|0.4579|0.8648|29.7411|30.257|9.5258|-0.9461
self||0.0|-1.1204|4.7289|6.0691|1.3261|-1.3914|20.7323|30.2429|7.1077|-1.1262
moving||0.0|-2.0874|4.8727|5.3|1.0372|3.446|17.6882|21.3494|3.6996|-0.3491
things||0.0|-7.0705|8.4087|10.6955|2.7305|-2.9461|24.8284|24.8284|7.9693|-1.0576
right|,|0.0|-5.7052|5.3534|8.4087|1.4395|-3.9003|28.714|28.714|9.1867|-1.0762
elevators|?|0.0|-6.1721|8.7775|8.7775|2.7129|2.7939|26.3601|29.2029|5.3486|0.1468
are||0.0|-16.2305|12.5051|18.5637|3.5729|-2.0704|31.8046|33.8089|9.0777|-1.5331
automobiles||0.0|0.0|0.0|19.3729|0.0|0.0|0.0|31.8046|0.0|0.0
and|.|0.0|-4.1155|4.2361|7.3662|1.297|5.2282|17.2069|17.2069|4.161|0.0
they're||0.0|-2.8967|3.6876|5.4149|0.6636|4.9999|20.9978|20.9978|5.5727|-0.9948
not||0.0|-1.6062|1.0021|4.5094|0.3229|4.0584|9.8613|20.9978|3.5296|0.4022
very||0.0|-2.9672|2.7487|3.2766|0.7597|6.3167|11.5681|11.9673|3.7394|1.2006
emotional||0.0|-4.4729|5.8079|5.8079|1.276|2.1845|18.3088|19.2824|4.3652|-0.1655
they|;|0.0|-6.7127|1.6272|5.9645|0.3791|-0.9264|10.9619|18.3088|3.7282|-0.0539
solve||0.0|-6.1216|5.4612|5.4612|1.4522|-1.6938|19.6324|19.6324|6.7869|-1.0762
a||0.0|-5.0179|1.3758|5.4612|0.6583|-12.6104|3.6969|23.7011|1.7098|6.0793
purpose||0.0|-1.5597|4.3292|5.6941|1.4439|-1.7693|23.1984|23.836|7.0474|-0.7085
and|;|0.57|-6.641|1.096|7.4015|0.334|-0.093|8.7127|23.1984|2.5951|-0.4257
certainly||0.0|-13.9722|9.912|11.5769|3.3179|1.8567|14.8107|14.8107|3.8526|0.5396
automobiles||0.0|-6.0541|8.0359|13.7811|1.6305|4.1009|13.5002|16.0859|3.5269|0.2663
have||0.0|-5.5408|4.7622|8.3646|1.6533|0.7455|8.3525|13.5002|2.961|0.4022
been||0.0|-7.383|1.5181|4.7622|0.5508|1.5766|10.1983|10.1983|3.5291|0.6151
around||0.0|-7.2455|1.3935|1.5468|0.3599|2.5727|10.8207|11.1404|3.0569|0.3097
for||0.0|-7.0081|0.7608|1.3935|0.234|-1.3376|14.4604|14.4604|6.0065|0.6151
one||0.0|-8.2443|2.0971|2.7758|0.8517|4.5081|5.0894|14.4604|2.2776|4.1278
hundred||0.0|-7.4632|3.2377|3.3451|1.0609|1.418|12.5209|12.5209|3.6516|-0.7085
years||0.0|-6.1396|4.4948|5.581|1.5373|3.4059|14.5988|14.5988|4.3287|-0.7509
and||0.0|-8.0717|2.8076|5.7498|0.8768|-0.031|1.1088|14.5988|0.438|0.2248
have||0.43|-7.538|4.4162|4.4162|0.8777|-2.41|23.3822|23.3822|7.8772|-1.1944
made||0.0|-3.9935|3.2664|7.8615|1.0235|4.6131|18.8092|24.7565|6.1619|-0.7509
our||0.0|-5.6021|1.9536|4.1256|0.6826|7.7216|3.0408|18.8092|1.0548|1.2006
lives||0.0|-6.0621|3.0614|3.0614|0.808|0.7064|27.2647|27.2647|8.501|-1.2063
functionally||0.0|-3.8968|4.3005|5.6115|1.1324|-4.0296|26.1253|27.2647|7.1527|0.2663
a||0.34|-7.5125|2.5254|7.0572|0.6928|2.8385|19.1059|26.3428|4.1641|-0.9461
lot||0.0|-6.0249|1.4195|3.5654|0.432|3.6271|14.5689|19.1059|5.4517|-0.263
better||0.0|-5.6861|1.0147|1.5075|0.3423|4.7698|12.0321|16.4001|4.1632|1.3957
in||0.0|-6.3771|0.7045|1.5712|0.255|3.3209|2.426|12.0321|0.9738|2.1763
many||0.0|-5.0309|3.6316|3.6316|1.1774|4.6455|5.6093|5.6093|1.7973|0.8753
ways||0.0|-6.5881|3.6405|4.414|1.3583|5.2754|12.6219|12.6219|3.2836|-0.5558
they've|;|0.0|0.0|0.0|7.8056|0.0|0.0|0.0|12.6219|0.0|0.0
also||0.0|-2.9973|3.6975|5.7846|0.7668|1.3174|19.495|19.495|6.3168|0.0
been||0.0|-4.776|2.9379|4.5222|0.8831|4.8782|8.4313|19.495|2.8451|0.4022
a||0.0|-6.5431|1.0167|3.2529|0.3417|3.1052|3.6284|8.4313|1.304|1.2006
real||0.0|-3.3596|3.4751|4.7635|0.9951|3.8363|21.6451|21.6451|6.938|-0.263
pain||0.0|-2.3671|1.725|3.984|0.4726|-1.565|18.5711|23.5858|6.5728|-0.6115
in||0.0|-5.3234|3.0198|5.0658|1.0686|1.6805|3.5719|18.5711|1.3225|1.6187
the||0.0|-6.7037|0.441|3.2315|0.1365|1.379|4.0938|4.3738|1.8231|2.1763
ass||0.0|-4.9961|3.1635|3.494|0.8352|2.5722|13.8036|13.8036|4.1967|-0.9712
because|,|0.73|9.0654|5.1366|18.7967|0.9951|-4.9961|34.7518|34.7518|10.5136|-0.9191
automobiles||0.0|0.0378|18.0447|18.0447|5.5393|2.4555|35.1223|35.1284|7.5111|-0.926
are||0.0|-4.8736|1.3691|18.0447|0.4173|1.6322|27.4879|35.1223|8.2436|-1.017
really||0.0|-2.7985|3.5495|4.3038|1.1005|6.3057|10.8911|28.873|2.8971|0.2248
the||0.0|-6.2358|2.8055|6.732|0.9718|2.5713|6.3062|12.1057|2.0724|1.2006
thing||0.0|-4.3997|4.0011|5.3374|1.0586|-1.5543|19.3837|19.3837|6.4347|-0.1655
we||0.0|-6.6619|2.3403|5.3211|0.9005|0.7662|1.5916|19.3837|0.5838|1.2006
have||0.0|-5.7529|2.6745|2.768|0.711|0.7771|18.4789|18.4789|6.7738|-0.1655
to||0.0|-5.9664|2.2769|2.6745|0.8256|-6.8044|10.9143|21.3737|4.3777|1.2006
solve||0.0|-12.0279|11.0727|13.5629|3.1064|1.445|17.8559|23.6948|5.9231|-1.1555
we|.|0.0|0.0|0.0|18.8301|0.0|0.0|0.0|17.8559|0.0|0.0
have||0.0|5.0431|0.4888|5.2496|0.1748|2.1218|18.1038|18.1038|6.5534|0.0
to||0.0|5.5439|1.9169|2.0858|0.6542|-9.4419|9.6116|21.6626|3.8951|0.6151
solve||0.0|5.5123|3.4973|3.4973|0.9757|1.3875|16.9866|22.5279|5.9226|-1.1412
the||0.0|3.984|2.5485|4.4822|0.8559|-2.4583|12.4764|19.0278|4.1478|-0.0539
pollution||0.0|-0.6971|5.5026|8.2342|1.2934|-1.695|27.9455|27.9455|8.183|-0.3491
we|,|0.0|-6.4045|5.0698|10.7769|1.6495|-0.4277|4.4964|27.9455|1.3382|0.4022
have||0.0|-8.6392|1.3551|6.1436|0.4654|-5.4943|14.3798|17.1406|4.4483|0.2248
to||0.0|-7.6974|1.7237|2.5678|0.5649|-14.0029|10.7867|16.3943|3.8509|0.4022
solve||0.0|-6.5632|2.8904|3.8277|0.8448|0.4425|16.3611|26.2818|6.2404|-1.0576
the||0.0|-7.445|0.4925|3.0137|0.1487|-3.7875|16.618|23.0288|5.442|0.4022
congestion||0.0|-11.1527|9.2497|9.2497|2.8342|0.1426|28.2163|28.2163|6.2725|-0.6935
but||0.0|0.0|0.0|15.5727|0.0|0.0|0.0|28.2163|0.0|0.0
that's||0.0|1.7983|0.7571|2.1896|0.2343|-1.8188|26.5644|26.5644|7.9352|0.0
not||0.0|0.76|4.0973|4.0973|1.0328|-0.8502|21.9707|26.5644|7.9201|-0.9191
what||0.0|-3.7598|3.7843|8.1552|1.1236|-3.7486|23.2918|24.4001|8.5326|-0.5558
interests||0.0|-0.8571|3.9479|6.0364|1.5004|-2.6685|24.321|25.2092|7.0076|0.2806
me||0.0|-3.3465|2.6693|5.7801|0.9803|1.1628|21.411|24.321|6.3268|0.6151
in||0.0|-5.3536|0.9525|3.61|0.318|3.4495|2.8437|21.411|0.8802|0.8753
this||0.0|-6.2005|1.5841|2.1307|0.4896|-0.2261|9.8848|10.5512|3.4356|-0.1655
speech||0.0|-5.5828|3.4053|3.4053|0.8565|-8.7827|27.7847|27.7847|8.2216|-1.0762
what|.|0.0|-5.0702|1.6944|3.6275|0.5859|0.1027|8.4013|27.7847|2.0923|0.0747
interests||0.0|-1.9745|2.9572|5.2431|0.6915|-6.5049|25.9861|25.9861|7.268|0.5396
me||0.0|-2.7271|2.4713|3.4083|0.9619|-1.4928|21.1494|25.9861|6.6019|1.2006
in||0.0|-4.7248|0.7448|3.4211|0.2566|3.3403|2.1535|22.1436|0.7406|1.2006
this||0.0|-5.46|0.9986|1.7895|0.3354|0.2029|9.779|10.2498|3.0705|0.0747
speech||0.0|-2.9432|3.837|4.9683|1.0798|-7.1512|19.4633|21.1455|6.4238|-0.9712
is||0.0|-5.9624|2.8851|6.0559|0.6988|-16.0217|23.9167|25.4608|7.6546|-1.0762
cars||0.0|-4.403|5.7391|5.7391|1.3689|-7.2712|31.901|31.901|9.2144|-1.293
automobiles|.|0.97|-1.4606|8.702|12.2483|2.2986|5.0385|21.1428|35.6696|5.9084|-0.5843
may||0.0|-2.1187|0.9976|8.702|0.2968|3.0786|11.6005|21.1428|3.6354|0.2248
be||0.0|-3.1852|4.1492|4.4593|1.3741|2.6812|12.3797|14.4032|4.0095|-0.263
what||0.0|-4.5192|4.0638|4.9428|1.2769|0.6538|16.2457|16.6643|5.098|-0.9191
you||0.0|-1.0446|5.3687|8.9897|1.8577|4.7784|7.4505|16.2457|2.4409|-0.8903
use||0.0|0.0|0.0|5.3687|0.0|0.0|0.0|8.0378|0.0|0.0
but|,|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
cars||0.0|-2.1407|6.3804|6.3804|1.8166|-0.0728|31.2298|31.2298|9.3072|0.0
are||0.0|-4.7176|5.3428|6.4991|1.2833|-4.8932|30.8033|33.557|10.4497|-1.1262
what||0.0|-5.602|1.5042|6.0017|0.5943|-6.7349|26.7803|31.0288|9.4056|-0.5558
we||0.0|-5.71|2.4981|2.4981|0.7735|0.8352|7.5568|27.1845|2.2977|0.4022
are||0.0|-5.9059|11.1582|11.1582|4.2465|1.9436|17.6221|17.6221|5.3069|-0.8593
in|,|0.45|-5.5568|1.1738|11.1582|0.3608|3.4949|15.1542|17.6221|4.1059|-0.0539
many||0.0|-4.2969|4.3287|4.3287|1.0935|5.8848|3.5463|15.9408|0.9917|0.4022
ways||0.0|-9.3887|2.3952|7.3168|0.5098|1.6721|16.4371|16.4371|5.1827|-0.8593
and|.|0.74|6.9569|6.6254|19.4852|1.3475|-0.0646|29.7895|29.7895|8.5635|-1.5212
as||0.0|7.8768|4.0932|6.8357|1.1954|-1.4944|26.8705|30.5311|9.0209|-0.4257
long||0.0|11.8669|3.24|7.4353|0.9343|5.8471|18.1188|27.1534|4.3236|-0.4257
as||0.0|9.6441|4.8485|5.278|1.9621|3.3526|5.894|18.1188|2.3|1.6187
we||0.0|10.1607|3.6629|4.8485|1.2766|3.4394|8.3913|8.3913|3.186|0.4022
can||0.0|9.3351|5.5609|5.6176|1.8084|2.3082|14.1136|14.7649|5.1553|-0.5558
solve||0.0|0.1726|11.2638|17.0723|3.38|2.7308|17.4538|18.5316|6.9231|-1.1104
the||0.0|-5.2422|1.1955|11.5739|0.4136|0.4984|8.1922|17.4538|3.2146|1.6187
problems||0.0|-3.0976|8.5574|8.5574|2.31|0.7182|21.8533|21.8533|7.2011|-0.3074
of||0.0|-6.0617|4.4533|8.5662|1.2987|-0.4361|14.0712|21.8533|4.1392|0.2248
automobiles||0.0|-3.0818|8.2217|10.3937|2.285|3.5854|23.3903|23.3903|6.2999|-0.6246
and|,|0.0|-5.6022|1.4253|8.4367|0.4529|1.054|10.0042|23.3903|3.7|0.6151
i||0.0|-4.8592|3.1067|3.1696|1.1425|6.9203|2.6862|10.7093|0.8632|1.2006
believe||0.0|-5.7521|5.241|5.241|1.2492|3.236|11.7638|12.1627|3.735|-0.1116
we||0.0|-6.6141|2.5438|5.4058|0.958|-2.3537|17.7253|21.7623|5.6593|0.6151
can||0.0|-5.9661|3.9862|4.5728|1.1573|-0.8793|20.2093|20.2093|6.7257|-0.826
with|,|0.0|-6.267|4.042|4.7608|1.3939|-1.2373|16.7798|20.2093|5.7695|0.0747
fuel||0.0|-5.2632|2.7558|4.0928|0.8335|-2.4563|22.274|22.274|8.0638|-0.7509
cells||0.0|-5.59|3.4846|3.767|1.1653|-0.2074|17.9013|25.6152|5.6768|-1.1944
or||0.0|-8.9599|2.0366|5.2929|0.8632|0.5148|6.665|17.9013|2.1124|0.8753
hydrogen||0.0|-5.8591|4.9879|5.9045|1.0316|0.7544|17.4762|17.4762|4.7267|-0.2929
like|,|0.0|-8.1905|4.2451|6.4571|1.3946|-4.4045|18.6986|28.7202|5.5564|-0.6115
b||0.0|0.0|0.0|10.3421|0.0|0.0|0.0|18.6986|0.0|0.0
m||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
w||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
is||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
really||0.0|-6.9104|3.3283|8.8763|0.8705|0.362|25.5862|25.5862|5.6186|0.0
hip||0.44|-5.9823|6.2324|6.2324|2.2538|-1.3665|20.788|28.2178|6.4331|-0.7509
on||0.0|-5.2523|1.0797|6.2324|0.2969|1.4008|18.3312|20.788|6.0426|-0.9191
and|,|0.0|0.0|0.0|5.6411|0.0|0.0|0.0|18.3312|0.0|0.0
